id,urls,Programme name,First Year Tuition Fee,Study Level,Duration of Study,University,lable 1,lable 2,score
1,https://www.jupas.edu.hk/tc/programme/hkbu/JS2020,Bachelor of Arts,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,,19
2,https://www.jupas.edu.hk/tc/programme/hkbu/JS2021,Bachelor of Arts in Chinese Language and Literature,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Langiage,19
3,https://www.jupas.edu.hk/tc/programme/hkbu/JS2022,Bachelor of Arts in Creative and Professional Writing,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Writing,19
4,https://www.jupas.edu.hk/tc/programme/hkbu/JS2023,Bachelor of Arts in English Language and Literature,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Language,19
5,https://www.jupas.edu.hk/tc/programme/hkbu/JS2024,Bachelor of Arts in Humanities,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Humanities,19
6,https://www.jupas.edu.hk/tc/programme/hkbu/JS2025,"Bachelor of Arts in Religion, Philosophy and Ethics","HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Philosophy,19
7,https://www.jupas.edu.hk/tc/programme/hkbu/JS2026,Bachelor of Arts in Translation,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Translation,19
8,https://www.jupas.edu.hk/tc/programme/hkbu/JS2030,Bachelor of Arts in Music,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Arts,Music,19
9,https://www.jupas.edu.hk/tc/programme/hkbu/JS2040,English Language & Literature and English Language Teaching (Double Degree),"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  5 years,Hong Kong Baptist University,Arts,Language,19
10,https://www.jupas.edu.hk/tc/programme/hkbu/JS2050,Bachelor of Music in Creative Industries,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Design,Music,19
11,https://www.jupas.edu.hk/tc/programme/hkbu/JS2110,Bachelor of Business Administration - Accounting Concentration,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Business,Accounting,19
12,https://www.jupas.edu.hk/tc/programme/hkbu/JS2120,Bachelor of Business Administration,"HK$42,100 ", Study Level Bachelor's Degree,  Duration of Study  4 years,Hong Kong Baptist University,Business,,19
